codice_aic;denominazione;principio_attivo;confezione;classe
28687010;RECOMBINATE;Octocog alfa (Fattore VIII di coagulazione, ricombinante);1 flacone EV 250 UI + 1 flacone solv 10 ml;A
28687022;RECOMBINATE;Octocog alfa (Fattore VIII di coagulazione, ricombinante);1 flacone EV 500 UI + 1 flacone solv 10 ml;A
28687034;RECOMBINATE;Octocog alfa (Fattore VIII di coagulazione, ricombinante);1 flacone EV 1.000 UI + 1 flacone solv 10 ml;A
28694038;CLIVARINA;Reviparina;10 siringhe SC 1.750 UI 0,25 ml;A
28694053;CLIVARINA;Reviparina;10 siringhe SC 4.200 UI 0,6 ml;A
28694103;CLIVARINA;Reviparina;10 siringhe SC 6.300 UI 0,9 ml;A
28705046;SULIDAMOR;Nimesulide;30 cpr 100 mg;A
28717015;CARDIRENE;Acido acetilsalicilico;30 bust polv os 160 mg;A
28717027;CARDIRENE;Acido acetilsalicilico;30 bust polv os 300 mg;A
28717039;CARDIRENE;Acido acetilsalicilico;os polv 30 bust 100 mg;A
28717041;CARDIRENE;Acido acetilsalicilico;30 bust polv os 75 mg;A
28721052;DIUREMID;Torasemide;5 fiale EV 10 mg 2 ml;A
28831131;EFEXOR;Venlafaxina;7 cps 37,5 mg rilascio prolungato;A
28853024;CONTRAMAL;Tramadolo;os gtt 10 ml 100 mg/ml;A
28853036;CONTRAMAL;Tramadolo;20 cpr 100 mg rilascio prolungato;A
28853051;CONTRAMAL;Tramadolo;5 fiale soluz iniett 50 mg 1 ml;A
28853063;CONTRAMAL;Tramadolo;5 fiale soluz iniett 100 mg 2 ml;A
28853075;CONTRAMAL;Tramadolo;10 cpr 150 mg rilascio prolungato;A
28853087;CONTRAMAL;Tramadolo;10 cpr 200 mg rilascio prolungato;A
28853101;CONTRAMAL;Tramadolo;os gtt 30 ml 100 mg/ml;A
28878078;FORTRADOL;Tramadolo;20 cps 50 mg;A
28878080;FORTRADOL;Tramadolo;os gtt 10 ml 100 mg/ml;A
28878092;FORTRADOL;Tramadolo;20 cpr 100 mg rilascio prolungato;A
28878116;FORTRADOL;Tramadolo;5 fiale 50 mg 1 ml;A
28878128;FORTRADOL;Tramadolo;5 fiale 100 mg 2 ml;A
28878142;FORTRADOL;Tramadolo;10 cpr 150 mg rilascio prolungato;A
28878155;FORTRADOL;Tramadolo;10 cpr 200 mg rilascio prolungato;A
28896025;CEPIM;Cefepime;1 fiala IM EV 1 g + 1 fiala solv 3 ml;A
28899019;MAXIPIME;Cefepime;1 fiala IM EV 500 mg + 1 fiala solv 1,5 ml;A
28899021;MAXIPIME;Cefepime;1 fiala IM EV 1 g + 1 fiala solv 3 ml;A
28900013;CEPIMEX;Cefepime;1 fiala IM EV 500 mg + 1 fiala solv 1,5 ml;A
28900025;CEPIMEX;Cefepime;1 fiala IM EV 1 g + 1 fiala solv 3 ml;A
28967026;DINAPRES;Delapril/indapamide;28 cpr 30 mg + 2,5 mg;A
28969020;DELAPRIDE;Delapril/indapamide;28 cpr 30 mg + 2,5 mg;A
29000015;EPIESTROL;Estradiolo;8 cerotti transd 25 mcg/die;A
29000027;EPIESTROL;Estradiolo;8 cerotti transd 50 mcg/die;A
29001017;DERMESTRIL 25;Estradiolo;8 cerotti transd 25 mcg/die;A
29001029;DERMESTRIL 50;Estradiolo;8 cerotti transd 50 mcg/die;A
29001043;DERMESTRIL SEPTEM;Estradiolo;4 cerotti transd 25 mcg/die;A
29001068;DERMESTRIL SEPTEM;Estradiolo;4 cerotti transd 50 mcg/die;A
29014038;FLIXODERM;Fluticasone;ung derm 30 g 0,005%;A
29018064;CREON 10.000UI;Pancrelipasi;100 cps gastrores 150 mg rilascio modificato;A
29037025;PROVERA G;Medrossiprogesterone;12 cpr 5 mg;A
29051036;ALENDROS;Acido alendronico;14 cpr 10 mg;A
29052038;FOSAMAX;Acido alendronico;14 cpr 10 mg;A
29053030;ADRONAT;Acido alendronico;14 cpr 10 mg;A
29054032;DRONAL;Acido alendronico;14 cpr 10 mg;A
29059096;MYELOSTIM 34;Lenograstim;1 fiala EV SC 33.600.000 UI 1 ml + 1 siringa;A
29103013;INIBACE PLUS;Cilazapril/idroclorotiazide;14 cpr riv 5 mg + 12,5 mg;A
29111046;CLEXANE T;Enoxaparina sodica;2 fialesiringhe SC 6.000 UI 0,6 ml;A
29111059;CLEXANE T;Enoxaparina sodica;2 fialesiringhe SC 8.000 UI 0,8 ml;A
29111061;CLEXANE T;Enoxaparina sodica;2 fialesiringhe SC 10.000 UI 1 ml;A
29111085;CLEXANE T;Enoxaparina sodica;10 fialesiringhe SC 6.000 UI 0,6 ml;A
29111097;CLEXANE T;Enoxaparina sodica;10 fialesiringhe SC 8.000 UI 0,8 ml;A
29111109;CLEXANE T;Enoxaparina sodica;10 fialesiringhe SC 10.000 UI 1 ml;A
29116011;INITISS PLUS;Cilazapril/idroclorotiazide;14 cpr 5 mg + 12,5 mg;A
29120021;NIMEDEX;Nimesulide betaciclodestrina;30 bust grat 400 mg;A
29136013;CLIPPER;Beclometasone;10 clismi 3 mg 60 ml sosp rett;A
29136037;CLIPPER;Beclometasone;30 cpr 5 mg rilascio prolungato;A
29157017;DERMATOP;Prednicarbato;crema derm 30 g 0,25%;A
29163021;LESCOL;Fluvastatina;14 cps 40 mg;A
29172044;FAMVIR;Famciclovir;10 cpr riv 125 mg;A
29199027;LIPAXAN;Fluvastatina;14 cps 40 mg;A
29212053;DUROGESIC;Fentanil;3 cerotti transd 25 mcg/ora;A
29212065;DUROGESIC;Fentanil;3 cerotti transd 50 mcg/ora;A
29212077;DUROGESIC;Fentanil;3 cerotti transd 75 mcg/ora;A
29212089;DUROGESIC;Fentanil;3 cerotti transd 100 mcg/ora;A
29212091;DUROGESIC;Fentanil;3 cerotti transd 12 mcg/ora;A
29214020;FEMIPRES;Moexipril;14 cpr riv 15 mg;A
29243019;PRILACE;Ramipril/piretanide;14 cpr 5 mg + 6 mg;A
29250077;ALPHANINE;Fattore IX di coagulazione del sangue umano liofilizzato;1 flacone EV 1.000 UI + 1 siringa preriempita 10 ml + adattatore;A
29250089;ALPHANINE;Fattore IX di coagulazione del sangue umano liofilizzato;1 flacone EV 1.500 UI + 1 siringa preriempita 10 ml + adattatore;A
29251030;ALBUTEIN;Albumina umana;1 flacone EV 50 ml 200 g/l;A
29251042;ALBUTEIN;Albumina umana;1 flacone EV 50 ml 250 g/l;A
29294030;NOXON;Lornoxicam;30 cpr riv 8 mg;A
29304033;TAIGALOR;Lornoxicam;30 cpr riv div 8 mg;A
29316041;MISOFENAC;Diclofenac/misoprostolo;30 cpr 75 mg + 200 mcg;A
29324023;KITON;Isosorbide mononitrato;30 cpr div 40 mg;A
29352010;PULMOZYME;Desossiribonucleasi;sosp inal 6 fiale 2.500 UI 2,5 ml;A
29399019;IPSTYL;Lanreotide;1 flacone IM 30 mg rilascio prolungato + 1 fiala 2 ml;A
29399110;IPSTYL;Lanreotide;1 siringa SC 60 mg;A
29399122;IPSTYL;Lanreotide;1 siringa SC 90 mg;A
29399134;IPSTYL;Lanreotide;1 siringa SC 120 mg;A
29444104;REMERON;Mirtazapina;os soluz 66 ml 15 mg/ml;A
29453040;SANDIMMUN NEORAL;Ciclosporina;os soluz 50 ml 100 mg/ml;A
29472014;METOCAL;Calcio carbonato;60 cpr mast 1.250 mg;A
29485063;PROGRAF;Tacrolimus;10 fiale EV 5 mg 1 ml;A
29520184;PUREGON;Follitropina beta;5 fiale IM SC 50 UI 0,5 ml;A
29520234;PUREGON;Follitropina beta;5 fiale IM SC 100 UI 0,5 ml;A
29520386;PUREGON;Follitropina beta;1 cartuccia SC 300 UI/0,36 ml;A
29520398;PUREGON;Follitropina beta;1 cartuccia SC 600 UI/0,72 ml;A
29520400;PUREGON;Follitropina beta;1 cartuccia SC 900 UI/1,08 ml;A
29526047;SALAGEN;Pilocarpina;84 cpr riv 5 mg;A
29528041;RYTMOBETA;Sotalolo;50 cpr 160 mg;A
29538016;PROMETRIUM;Progesterone;30 cps os vag 100 mg;A
29538028;PROMETRIUM;Progesterone;15 cps os vag 200 mg;A
29552039;FLUDARA;Fludarabina;20 cpr riv 10 mg;A
29561038;CAVERJECT;Alprostadil;1 fiala 10 mcg + siringa + 2 aghi;A
29563018;PORTOLAC EPS;Lattitolo;os polv 200 g;A
29563044;PORTOLAC EPS;Lattitolo;sciroppo 500 ml 66,67 g/100 ml;A
29610019;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 5 ml 1 mg/ml;A
29610021;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 10 ml 1 mg/ml;A
29610033;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 20 ml 1 mg/ml;A
29610045;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 100 ml 1 mg/ml;A
29610072;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 40 ml 1 mg/ml;A
29610096;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 5 ml 5 mg/ml;A
29610108;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 10 ml 5 mg/ml;A
29610110;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 20 ml 5 mg/ml;A
29611023;MORFINA CLORIDRATO;Morfina cloridrato;5 fiale 10 mg 1 ml;A
29611035;MORFINA CLORIDRATO;Morfina cloridrato;5 fiale 20 mg 1 ml;A
29611047;MORFINA CLORIDRATO;Morfina cloridrato;1 fiala 10 mg 1 ml;A
29611050;MORFINA CLORIDRATO;Morfina cloridrato;1 fiala 20 mg 1 ml;A
29611124;MORFINA CLORIDRATO;Morfina cloridrato;1 fiala 50 mg 5 ml;A
29757010;ARTROTEC;Diclofenac/misoprostolo;30 cpr 50 mg + 200 mcg;A
29757059;ARTROTEC;Diclofenac/misoprostolo;30 cpr 75 mg + 200 mcg;A
29823010;IOPIDINE;Apraclonidina;collirio 5 ml 5 mg/ml;A
29827033;AMINOFILLINA;Aminofillina;10 fiale EV 240 mg 10 ml;A
29838024;VESANOID;Tretinoina;100 cps 10 mg flacone;A
29914013;FARESTON;Toremifene;30 cpr 60 mg;A
29927035;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 20 ml 1 mg/ml;A
29927074;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 20 ml 3 mg/ml;A
29927086;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 20 ml 5 mg/ml;A
29927175;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 20 ml 1 mg/ml;A
29927213;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 20 ml 3 mg/ml;A
29927237;METADONE CLORIDRATO;Metadone;os soluz 1 flacone 20 ml 5 mg/ml;A
30656019;CALCIO CLORURO;Calcio cloruro;5 fiale EV 500 mg 10 ml;A
30677013;MORFINA CLORIDRATO;Morfina cloridrato;5 fiale 10 mg 1 ml;A
30677025;MORFINA CLORIDRATO;Morfina cloridrato;5 fiale 20 mg 1 ml;A
30727010;LATTULAC EPS;Lattulosio;sciroppo 180 ml 66,7 g/100 ml;A
30798019;MORFINA CLORIDRATO;Morfina cloridrato;5 fiale SC IM EV 10 mg 1 ml;A
30798021;MORFINA CLORIDRATO;Morfina cloridrato;5 fiale SC IM EV 20 mg 1 ml;A
30798033;MORFINA CLORIDRATO;Morfina cloridrato;1 fiala SC IM EV 10 mg 1 ml;A
30798045;MORFINA CLORIDRATO;Morfina cloridrato;1 fiala SC IM EV 20 mg 1 ml;A
30822011;TALOXA;Felbamato;os sosp 230 ml 600 mg/5ml;A
30822035;TALOXA;Felbamato;40 cpr 600 mg;A
31115013;TOPSTER;Beclometasone;14 dosi 35 ml schiuma rett;A
31115025;TOPSTER;Beclometasone;10 supp 3 mg;A
31115049;TOPSTER;Beclometasone;10 clismi 3 mg 60 ml sosp rett + 10 cannule rett;A
31120013;PLENAER;Salbutamolo/flunisolide;soluz nebul 20 flaconcini 0,5 mg + 20 flaconcini 0,5 mg;A
31220027;GLADIO;Aceclofenac;os polv 30 bust 100 mg;A
31414016;CLORAMFENICOLO;Cloramfenicolo;1 flaconcino EV 1 g 10 ml;A
31494014;VELLUTAN;Tacalcitolo;ung derm 20 g 4 mcg/g;A
31494026;VELLUTAN;Tacalcitolo;emuls cut 20 ml 4 mcg/g;A
31494040;VELLUTAN;Tacalcitolo;emuls cut 50 ml 4 mcg/g;A
31507015;ORAMORPH;Morfina solfato;1 flacone 100 ml 2 mg/ml sciroppo;A
31507039;ORAMORPH;Morfina solfato;20 flaconcini os 10 mg 5 ml;A
31507041;ORAMORPH;Morfina solfato;20 flaconcini os 30 mg 5 ml;A
31507104;ORAMORPH;Morfina solfato;1 flacone 20 ml 20 mg/ml sciroppo;A
31773017;ESTRADERM MX;Estradiolo;8 cerotti transd 25 mcg/die;A
31773029;ESTRADERM MX;Estradiolo;8 cerotti transd 50 mcg/die;A
31842026;KAFENAC;Aceclofenac;os sosp polv 30 bust 100 mg;A
31964012;ACCOLEIT;Zafirlukast;28 cpr riv 20 mg;A
32023083;TOPAMAX;Topiramato;60 cps 15 mg flacone;A
32132033;CRINONE 8;Progesterone;gel vag 15 applic 8%;A
32166047;BETAFERON;Interferone beta 1B;15 flaconcini polvere SC 0,25 mg/ml + 15 siringhe;A
32310219;MIZOLLEN;Mizolastina;20 cpr 10 mg rilascio modificato;A
32311211;ZOLISTAM;Mizolastina;20 cpr 10 mg rilascio modificato;A
32333027;DISERINAL;Alfacalcidolo;30 cps 1 mcg;A
32392211;GONAL F;Follitropina alfa da DNA ricombinante;1 fiala SC 1.050 UI 1,75 ml;A
32392250;GONAL F;Follitropina alfa da DNA ricombinante;1 fiala SC 75 UI + 1 siringa 1 ml;A
32392274;GONAL F;Follitropina alfa da DNA ricombinante;10 fiale SC 75 UI + 10 siringhe 1 ml;A
32392336;GONAL F;Follitropina alfa da DNA ricombinante;1 penna SC 300 UI/0,5 ml + 8 aghi;A
32392348;GONAL F;Follitropina alfa da DNA ricombinante;1 penna SC 450 UI/0,75 ml + 12 aghi;A
32392351;GONAL F;Follitropina alfa da DNA ricombinante;1 penna SC 900 UI/1,5 ml + 20 aghi;A
32773032;AIRTAL;Aceclofenac;os sosp polv 30 bust 100 mg;A
32798023;PRONTINAL;Beclometasone;sosp nebul 20 fiale 0,8 mg 2 ml;A
32811010;METILERGOMETRINA MALEATO;Metilergometrina;10 fiale 0,2 mg 1 ml;A
36598098;MIMPARA;Cinacalcet;28 cpr riv 90 mg;A
32832026;DERIL;Alfacalcidolo;30 cps 1 mcg;A
32921013;FOSTIMON;Urofollitropina;1 flaconcino 75 UI + 1 fiala solv;A
32921049;FOSTIMON;Urofollitropina;10 flaconcini 75 UI + 10 fiale solv;A
32921102;FOSTIMON;UROFOLLITROPINA;1 flaconcino 150 UI/ml + 1 siringa;A
32921114;FOSTIMON;UROFOLLITROPINA;5 flaconcini 150 UI/ml + 5 siringhe;A
32921138;FOSTIMON;UROFOLLITROPINA;1 flaconcino 225 UI/ml + 1 siringa + 2 aghi;A
32921140;FOSTIMON;UROFOLLITROPINA;5 flaconcini 225 UI/ml + 5 siringhe + 10 aghi;A
32921165;FOSTIMON;UROFOLLITROPINA;1 flaconcino 300 UI/ml + 1 siringa + 1 ago;A
32921177;FOSTIMON;UROFOLLITROPINA;5 flaconcini 300 UI/ml + 5 siringhe + 10 aghi;A
32926014;ARMONIL;Estradiolo;8 cerotti transd 25 mcg/die;A
32926026;ARMONIL;Estradiolo;8 cerotti transd 50 mcg/die;A
32926040;ARMONIL SEPTEM;Estradiolo;4 cerotti transd 25 mcg/die;A
32926065;ARMONIL SEPTEM;Estradiolo;4 cerotti transd 50 mcg/die;A
32936027;OSTIDIL D3;Alfacalcidolo;30 cps 1 mcg;A
32951016;GABITRIL;Tiagabina;50 cpr riv 5 mg;A
32951030;GABITRIL;Tiagabina;50 cpr riv 10 mg;A
32951055;GABITRIL;Tiagabina;50 cpr riv 15 mg;A
32991034;SANDRENA;Estradiolo;gel transd 28 monodosi 1 g 0,1%;A
33055017;UROCINOX;Cinoxacina;20 cps 500 mg;A
33074016;PRONTALGIN;Tramadolo;os gtt 10 ml 100 mg/ml;A
33074028;PRONTALGIN;Tramadolo;5 fiale 100 mg 2 ml;A
33074030;PRONTALGIN;Tramadolo;20 cps 50 mg;A
33074055;PRONTALGIN;Tramadolo;20 cpr eff 50 mg;A
33231010;MAGALTOP;Magaldrato;40 cpr mast 800 mg;A
33077102;ALPHANATE;Fattore VIII umano di coagulazione/fattore di Von Willebrand;1 flacone EV 1.000 UI + 1 siringa preriempita 10 ml + adattatore;A
33077114;ALPHANATE;Fattore VIII umano di coagulazione/fattore di Von Willebrand;1 flacone EV 1.500 UI + 1 siringa preriempita 10 ml + adattatore;A
33120092;SIGMACILLINA;Benzilpenicillina benzatinica;1 siringa 1.200.000 UI 2,5 ml;A
33181049;AGGRENOX;Dipiridamolo/acido acetilsalicilico;60 cps 200 mg + 25 mg rilascio modificato;A
33231022;MAGALTOP;Magaldrato;os sosp 40 bust 800 mg;A
33232012;GADRAL;Magaldrato;40 cpr mast 800 mg;A
33232024;GADRAL;Magaldrato;os sosp 40 bust 800 mg;A
33232036;GADRAL;Magaldrato;os sosp 250 ml 80 mg/ml;A
33248028;ZORAC;Tazarotene;gel derm 15 g 0,1%;A
33248081;ZORAC;Tazarotene;gel derm 15 g 0,05%;A
33280049;TASMAR;Tolcapone;100 cpr riv 100 mg flacone;A
33280090;TASMAR;Tolcapone;100 cpr riv 100 mg flacone;A
33283033;AVONEX;Interferone beta 1A;4 siringhe IM 30 mcg/0,5 ml + 4 aghi;A
33283045;AVONEX;Interferone beta 1A;4 penne IM 30 mcg/0,5 ml + 4 aghi + 4 cappucci penna;A
33306061;HYCAMTIN;Topotecan;10 cps 0,25 mg;A
33306073;HYCAMTIN;Topotecan;10 cps 1 mg;A
33312012;OXIS TURBOHALER 4,5;Formoterolo;60 dosi polv inal 4,5 mcg/dose;A
33314016;CYSTAGON;Mercaptamina;100 cps 50 mg;A
33314030;CYSTAGON;Mercaptamina;100 cps 150 mg;A
33331149;TEVETENZ;Eprosartan;28 cpr riv 600 mg;A
33403039;APOFIN STYLO;Apomorfina;1 penfill SC 1% 30 mg/3 ml;A
33403041;APOFIN STYLO;Apomorfina;5 penfill SC 1% 30 mg/3 ml;A
33484015;TWICE;Morfina solfato;16 cps 10 mg rilascio prolungato;A
33484027;TWICE;Morfina solfato;16 cps 30 mg rilascio prolungato;A
33484039;TWICE;Morfina solfato;16 cps 60 mg rilascio prolungato;A
33484041;TWICE;Morfina solfato;16 cps 100 mg rilascio prolungato;A
33500012;RELIFEX;Nabumetone;30 cpr riv 1 g;A
33531017;TRAMADOLO;Tramadolo;os gtt 10 ml 100 mg/ml;A
33531029;TRAMADOLO;Tramadolo;5 fiale 100 mg 2 ml;A
33535042;BENEFIX;Nonacog alfa (fattore IX di coagulazione, ricombinante);1 flacone EV 250 UI + 1 siringa 5 ml solv;A
33535055;BENEFIX;Nonacog alfa (fattore IX di coagulazione, ricombinante);1 flacone EV 500 UI + 1 siringa 5 ml solv;A
33535067;BENEFIX;Nonacog alfa (fattore IX di coagulazione, ricombinante);1 flacone EV 1.000 UI + 1 siringa 5 ml solv;A
33535079;BENEFIX;Nonacog alfa (fattore IX di coagulazione, ricombinante);1 flacone EV 2.000 UI + 1 siringa 5 ml solv;A
33535081;BENEFIX;Nonacog alfa (fattore IX di coagulazione, ricombinante);1 flacone EV 3.000 UI + 1 siringa 5 ml solv + set infusione;A
33632011;EDRONAX;Reboxetina;20 cpr 4 mg;A
33632023;EDRONAX;Reboxetina;60 cpr 4 mg;A
33637024;HUMALOG;Insulina lispro da DNA ricombinante;1 flaconcino SC 1.000 U 10 ml;A
33637051;HUMALOG;Insulina lispro da DNA ricombinante;5 cartucce SC in penne preriemp 3 ml 100 U/ml;A
33637063;HUMALOG;Insulina lispro da DNA ricomb/insulina lispro protamina;MIX 25 1 fiala SC 1.000 U 10 ml;A
33637075;HUMALOG;Insulina lispro da DNA ricomb/insulina lispro protamina;MIX 50 5 cartucce SC in penne preriemp 3 ml 100 UI/ml;A
33637099;HUMALOG;Insulina lispro da DNA ricomb/insulina lispro protamina;MIX 25 5 cartucce SC in penne preriemp 3 ml 100 UI/ml;A
33637113;HUMALOG;Insulina lispro protamina;BASAL 5 cartucce SC in penne preriemp 3 ml 100 U/ml;A
33637190;HUMALOG;Insulina lispro da DNA ricombinante;KWIKPEN 5 cartucce SC EV in penne preriemp 3 ml 100 UI/ml BORDEAUX;A
33637214;HUMALOG;Insulina lispro da DNA ricomb/insulina lispro protamina;MIX 25 KWIKPEN 5 cartucce SC in penne preriemp 3 ml 100 UI/ml GIALLO;A
33637238;HUMALOG;Insulina lispro da DNA ricomb/insulina lispro protamina;MIX 50 KWIKPEN 5 cartucce SC in penne preriemp 3 ml 100 UI/ml;A
33637277;HUMALOG;Insulina lispro protamina;KWIKPEN 5 cartucce SC BASAL in penne preriemp 3 ml 100 UI/ml VERDE;A
33637354;HUMALOG;Insulina lispro da DNA ricombinante;KWIKPEN 5 penne SC 200 U/ml 3 ml;A
33639016;FEMOSTON 2/10;Estradiolo/didrogesterone;14 cpr riv rosse + 14 cpr riv gialle;A
33639055;FEMOSTON 1/10;Estradiolo/didrogesterone;14 cpr riv bianche + 14 cpr riv grigie;A
33639081;FEMOSTON 1/5 CONTI;Estradiolo/didrogesterone;28 cpr riv 1 mg + 5 mg;A
33648039;CEFACLOR;Cefaclor;os sosp grat 100 ml 250 mg/5 ml;A
33657038;BERIATE;Fattore VIII di coagulazione del sangue umano liofilizzato;1 fiala EV 1.000 UI + 1 fiala solv + set;A
33717036;PREGNYL;Gonadotropina corionica;1 fiala IM 5.000 UI + 1 fiala solv 1 ml;A
33736012;AIRCORT;Budesonide;sosp inal 200 dosi 200 mcg;A
33736051;AIRCORT;Budesonide;sosp inal 100 dosi 400 mcg;A
33767017;TROFOGIN;Estriolo;crema vag 30 g + 6 applic;A
33816012;SICCAFLUID;Carbomer;gel oftalm 10 g 2,5 mg/g;A
33816048;SICCAFLUID;Carbomer;gel oftalm 30 monodosi 0,5 g 2,5 mg/g;A
33819020;SEFAL;Alfacalcidolo;30 cps 1 mcg;A
33858022;BALZIDE;Balsalazide;112 cps 750 mg;A
33863010;IGANTET;Immunoglobulina umana antitetanica;1 siringa IM 250 UI 1 ml;A
33863022;IGANTET;Immunoglobulina umana antitetanica;1 siringa IM 500 UI 2 ml;A
33866043;FANHDI;Fattore VIII di coagulazione del sangue umano liofilizzato;1 fiala EV 250 UI + 1 siringa;A
33866056;FANHDI;Fattore VIII di coagulazione del sangue umano liofilizzato;1 fiala EV 500 UI + 1 siringa;A
33866068;FANHDI;Fattore VIII di coagulazione del sangue umano liofilizzato;1 fiala EV 1.000 UI + 1 siringa;A
33866070;FANHDI;Fattore VIII di coagulazione del sangue umano liofilizzato;1 fiala EV 1.500 UI + 1 siringa;A
33867021;IGAMAD;Immunoglobulina umana anti-D;1 fiala IM 1.500 UI + 1 fiala solv 2 ml;A
33876044;DOXOFILLINA;Doxofillina;1 flacone 200 ml 20 mg/ml sciroppo;A
33887011;DOXOVENT;Doxofillina;20 cpr 400 mg;A
33887047;DOXOVENT;Doxofillina;1 flacone 200 ml 20 mg/ml sciroppo;A
33907027;FEMIPRES PLUS;Moexipril/idroclorotiazide;14 cpr riv 15 mg + 25 mg;A
33908029;ENULID;Moexipril/idroclorotiazide;14 cpr riv 15 mg + 25 mg;A
33919010;TRIACORT;Triamcinolone;3 fiale 40 mg 1 ml;A
33944024;URSULTEC;Acido ursodesossicolico;1 flacone 200 ml 3 g/100 ml sciroppo;A
33984042;SODIO VALPROATO;Acido valproico/sodio valproato;30 cpr 300 mg rilascio prolungato;A
33984055;SODIO VALPROATO;Acido valproico/sodio valproato;30 cpr 500 mg rilascio prolungato;A
33998016;TRAMADOLO;Tramadolo;20 cps 50 mg;A
33998055;TRAMADOLO;Tramadolo;os gtt 10 ml 100 mg/ml;A
34038024;FLUTAMIDE;Flutamide;21 cpr 250 mg;A
34078283;EXELON;Rivastigmina;30 cerotti transd 13,3 mg/die;A
34091037;REBIF;Interferone beta 1A;12 siringhe SC 6.000.000 UI 22 mcg;A
34091064;REBIF;Interferone beta 1A;12 siringhe SC 12.000.000 UI 44 mcg;A
34091076;REBIF;Interferone beta 1A;4 cartucce SC 12.000.000 UI/ml 1,5 ml;A
34091088;REBIF;Interferone beta 1A;4 cartucce SC 24.000.000 UI/ml 1,5 ml;A
34091138;REBIF;Interferone Beta 1A;12 penne SC 6.000.000 UI 22 mcg;A
34091165;REBIF;Interferone Beta 1A;12 penne SC 12.000.000 UI 44 mcg;A
34091177;REBIF;Interferone Beta 1A;6 penne SC 0,2 ml 2,4.000.000 UI 8,8 mcg + 6 penne SC 0,5 ml 6.000.000 UI 22 mcg;A
34095048;TRIAPIN;Felodipina/ramipril;28 cpr riv 5 mg + 5 mg;A
34112033;GENIAD;Alfacalcidolo;os gtt 10 ml 2 mcg/ml;A
34115016;MAXALT;Rizatriptan;3 cpr 5 mg;A
34117010;ACTIVELLE;Estradiolo/noretisterone;28 cpr riv 1 mg + 0,5 mg;A
34130017;RIZALIV;Rizatriptan;3 cpr 5 mg;A
34131019;TRIZADOL;Rizatriptan;3 cpr 5 mg;A
34172015;GENALEN;Acido alendronico;14 cpr 10 mg;A
34179046;CLENILEXX;Beclometasone;soluz inal 200 erog 100 mcg;A
34179085;CLENILEXX;Beclometasone;soluz inal 200 erog 100 mcg autohaler;A
34185835;INSUMAN;Insulina umana da DNA ricombinante;RAPID 1 flaconcino EV SC 5 ml 100 UI/ml;A
34185850;INSUMAN;Insulina umana da DNA ricombinante;RAPID 5 cart EV SC 3 ml 100 UI/ml;A
34208013;CAMPRAL;Acamprosato;84 cpr riv gastrores 333 mg;A
34209039;ESTALIS SEQUI;Estradiolo/noretisterone;4 cerotti transd 50 mcg/die + 4 cerotti 50 mcg/die + 250 mcg/die;A
34226011;BETTAMOUSSE;Betametasone;schiuma cutanea 100 g 1 mg/g;A
34231035;COMTAN;Entacapone;100 cpr riv 200 mg;A
34233015;TRADONAL;Tramadolo;SR 30 cps 50 mg rilascio prolungato;A
34233027;TRADONAL;Tramadolo;SR 30 cps 100 mg rilascio prolungato;A
34233039;TRADONAL;Tramadolo;SR 30 cps 150 mg rilascio prolungato;A
34233041;TRADONAL;Tramadolo;SR 30 cps 200 mg rilascio prolungato;A
34248043;GAVISCON ADVANCE;Sodio alginato/potassio bicarbonato;os sosp 200 ml;A
34248068;GAVISCON ADVANCE;Sodio alginato/potassio bicarbonato;os sosp 500 ml;A
34248171;GAVISCON ADVANCE;Sodio alginato/potassio bicarbonato;20 bust os sosp 10 ml menta;A
34248284;GAVISCON ADVANCE;Sodio alginato/potassio bicarbonato;os sosp 200 ml menta 1.000 mg/10 ml + 200 mg/10 ml;A
34248346;GAVISCON ADVANCE;Sodio alginato/potassio bicarbonato;os sosp 500 ml menta 1.000 mg/10 ml + 200 mg/10 ml;A
34262016;TRIAMVIRGI;Triamcinolone;3 flaconcini soluz iniett 40 mg 1 ml;A
34280038;LEUTROL;Meloxicam;30 cpr 15 mg;A
34290015;MAGRALIBI;Magaldrato;os sosp 250 ml 80 mg/ml;A
34290027;MAGRALIBI;Magaldrato;40 cpr mast 800 mg;A
34297034;BACAMPICILLINA;Bacampicillina;12 cpr riv 1,2 g;A
34368062;TIROSINT;Levotiroxina;os gtt 20 ml 100 mcg/ml;A
34368074;TIROSINT;Levotiroxina;os soluz 30 flaconcini 1 ml 25 mcg/ml;A
34368086;TIROSINT;Levotiroxina;os soluz 30 flaconcini 1 ml 50 mcg/ml;A
34368098;TIROSINT;Levotiroxina;os soluz 30 flaconcini 1 ml 75 mcg/ml;A
